target_id,model_id,probability,target_round,target_result,target_reward,target_regret
91,model_baseline,1.0,0,0,0,0
95,model1_rf,0.0,0,0,0,0
95,model2_lr,0.0,0,0,0,0
95,model3_lr,1.0,0,0,0,0
95,model4_xgb,1.0,0,0,0,0
95,model5_lgbm,0.0,0,0,0,0
95,model_baseline,0.0,0,0,0,0
98,model1_rf,0.0,0,0,0,0
98,model2_lr,0.0,0,0,0,0
98,model3_lr,1.0,0,0,0,0
98,model4_xgb,1.0,0,0,0,0
98,model5_lgbm,1.0,0,0,0,0
98,model_baseline,0.0,0,0,0,0
99,model1_rf,0.0,0,0,0,0
99,model2_lr,0.0,0,0,0,0
99,model3_lr,0.0,0,0,0,0
99,model4_xgb,0.0,0,0,0,0
99,model5_lgbm,0.0,0,0,0,0
99,model_baseline,1.0,0,0,0,0
102,model1_rf,1.0,0,0,0,0
102,model2_lr,1.0,0,0,0,0
102,model3_lr,0.0,0,0,0,0
102,model4_xgb,1.0,0,0,0,0
102,model5_lgbm,0.0,0,0,0,0
102,model_baseline,0.0,0,0,0,0
103,model1_rf,1.0,0,0,0,0
103,model2_lr,1.0,0,0,0,0
103,model3_lr,0.0,0,0,0,0
103,model4_xgb,1.0,0,0,0,0
103,model5_lgbm,0.0,0,0,0,0
103,model_baseline,0.0,0,0,0,0
104,model1_rf,0.0,0,0,0,0
104,model2_lr,0.0,0,0,0,0
104,model3_lr,1.0,0,0,0,0
104,model4_xgb,1.0,0,0,0,0
104,model5_lgbm,1.0,0,0,0,0
104,model_baseline,0.0,0,0,0,0
109,model1_rf,0.0,0,0,0,0
109,model2_lr,0.0,0,0,0,0
109,model3_lr,0.0,0,0,0,0
109,model4_xgb,1.0,0,0,0,0
109,model5_lgbm,1.0,0,0,0,0
109,model_baseline,0.0,0,0,0,0
110,model1_rf,1.0,0,0,0,0
110,model2_lr,1.0,0,0,0,0
110,model3_lr,1.0,0,0,0,0
110,model4_xgb,1.0,0,0,0,0
110,model5_lgbm,1.0,0,0,0,0
110,model_baseline,1.0,0,0,0,0
111,model1_rf,0.0,0,0,0,0
111,model2_lr,1.0,0,0,0,0
111,model3_lr,1.0,0,0,0,0
111,model4_xgb,1.0,0,0,0,0
111,model5_lgbm,1.0,0,0,0,0
111,model_baseline,1.0,0,0,0,0
112,model1_rf,1.0,0,0,0,0
112,model2_lr,1.0,0,0,0,0
112,model3_lr,1.0,0,0,0,0
112,model4_xgb,1.0,0,0,0,0
112,model5_lgbm,1.0,0,0,0,0
112,model_baseline,1.0,0,0,0,0
114,model1_rf,0.0,0,0,0,0
114,model2_lr,0.0,0,0,0,0
114,model3_lr,0.0,0,0,0,0
114,model4_xgb,0.0,0,0,0,0
114,model5_lgbm,0.0,0,0,0,0
114,model_baseline,1.0,0,0,0,0
116,model1_rf,0.0,0,0,0,0
116,model2_lr,1.0,0,0,0,0
116,model3_lr,0.0,0,0,0,0
116,model4_xgb,0.0,0,0,0,0
116,model5_lgbm,0.0,0,0,0,0
116,model_baseline,0.0,0,0,0,0
117,model1_rf,1.0,0,0,0,0
117,model2_lr,1.0,0,0,0,0
117,model3_lr,0.0,0,0,0,0
117,model4_xgb,0.0,0,0,0,0
117,model5_lgbm,0.0,0,0,0,0
117,model_baseline,1.0,0,0,0,0
119,model1_rf,0.0,0,0,0,0
119,model2_lr,1.0,0,0,0,0
119,model3_lr,0.0,0,0,0,0
119,model4_xgb,1.0,0,0,0,0
119,model5_lgbm,0.0,0,0,0,0
119,model_baseline,1.0,0,0,0,0
120,model1_rf,0.0,0,0,0,0
120,model2_lr,0.0,0,0,0,0
120,model3_lr,0.0,0,0,0,0
120,model4_xgb,0.0,0,0,0,0
120,model5_lgbm,1.0,0,0,0,0
120,model_baseline,1.0,0,0,0,0
121,model1_rf,1.0,0,0,0,0
121,model2_lr,1.0,0,0,0,0
121,model3_lr,0.0,0,0,0,0
121,model4_xgb,1.0,0,0,0,0
121,model5_lgbm,0.0,0,0,0,0
121,model_baseline,1.0,0,0,0,0
122,model1_rf,0.0,0,0,0,0
122,model2_lr,1.0,0,0,0,0
122,model3_lr,1.0,0,0,0,0
122,model4_xgb,1.0,0,0,0,0
122,model5_lgbm,1.0,0,0,0,0
122,model_baseline,1.0,0,0,0,0
123,model1_rf,0.0,0,0,0,0
123,model2_lr,1.0,0,0,0,0
123,model3_lr,1.0,0,0,0,0
123,model4_xgb,1.0,0,0,0,0
123,model5_lgbm,1.0,0,0,0,0
123,model_baseline,0.0,0,0,0,0
138,model1_rf,0.0,0,0,0,0
138,model2_lr,0.0,0,0,0,0
138,model3_lr,0.0,0,0,0,0
138,model4_xgb,1.0,0,0,0,0
138,model5_lgbm,0.0,0,0,0,0
138,model_baseline,1.0,0,0,0,0
151,model1_rf,0.0,0,0,0,0
151,model2_lr,0.0,0,0,0,0
151,model3_lr,0.0,0,0,0,0
151,model4_xgb,1.0,0,0,0,0
151,model5_lgbm,0.0,0,0,0,0
151,model_baseline,0.0,0,0,0,0
161,model1_rf,1.0,0,0,0,0
161,model2_lr,1.0,0,0,0,0
161,model3_lr,1.0,0,0,0,0
161,model4_xgb,1.0,0,0,0,0
161,model5_lgbm,1.0,0,0,0,0
161,model_baseline,0.0,0,0,0,0
165,model1_rf,1.0,0,0,0,0
165,model2_lr,0.0,0,0,0,0
165,model3_lr,1.0,0,0,0,0
165,model4_xgb,1.0,0,0,0,0
165,model5_lgbm,1.0,0,0,0,0
165,model_baseline,0.0,0,0,0,0
166,model1_rf,0.0,0,0,0,0
166,model2_lr,0.0,0,0,0,0
166,model3_lr,0.0,0,0,0,0
166,model4_xgb,0.0,0,0,0,0
166,model5_lgbm,0.0,0,0,0,0
166,model_baseline,0.0,0,0,0,0
167,model1_rf,0.0,0,0,0,0
167,model2_lr,0.0,0,0,0,0
167,model3_lr,0.0,0,0,0,0
167,model4_xgb,0.0,0,0,0,0
167,model5_lgbm,0.0,0,0,0,0
167,model_baseline,0.0,0,0,0,0
168,model1_rf,0.0,0,0,0,0
168,model2_lr,1.0,0,0,0,0
168,model3_lr,0.0,0,0,0,0
168,model4_xgb,1.0,0,0,0,0
168,model5_lgbm,0.0,0,0,0,0
168,model_baseline,0.0,0,0,0,0
169,model1_rf,1.0,0,0,0,0
169,model2_lr,1.0,0,0,0,0
169,model3_lr,1.0,0,0,0,0
169,model4_xgb,1.0,0,0,0,0
169,model5_lgbm,1.0,0,0,0,0
169,model_baseline,0.0,0,0,0,0
175,model1_rf,0.0,0,0,0,0
175,model2_lr,0.0,0,0,0,0
175,model3_lr,0.0,0,0,0,0
175,model4_xgb,1.0,0,0,0,0
175,model5_lgbm,1.0,0,0,0,0
175,model_baseline,0.0,0,0,0,0
176,model1_rf,1.0,0,0,0,0
176,model2_lr,0.0,0,0,0,0
176,model3_lr,0.0,0,0,0,0
176,model4_xgb,1.0,0,0,0,0
176,model5_lgbm,0.0,0,0,0,0
176,model_baseline,0.0,0,0,0,0
177,model1_rf,1.0,0,0,0,0
177,model2_lr,1.0,0,0,0,0
177,model3_lr,0.0,0,0,0,0
177,model4_xgb,0.0,0,0,0,0
177,model5_lgbm,0.0,0,0,0,0
177,model_baseline,0.0,0,0,0,0
178,model1_rf,1.0,0,0,0,0
178,model2_lr,1.0,0,0,0,0
178,model3_lr,1.0,0,0,0,0
178,model4_xgb,1.0,0,0,0,0
178,model5_lgbm,1.0,0,0,0,0
178,model_baseline,1.0,0,0,0,0
179,model1_rf,0.0,0,0,0,0
179,model2_lr,0.0,0,0,0,0
179,model3_lr,0.0,0,0,0,0
179,model4_xgb,1.0,0,0,0,0
179,model5_lgbm,0.0,0,0,0,0
179,model_baseline,0.0,0,0,0,0
181,model1_rf,1.0,0,0,0,0
181,model2_lr,1.0,0,0,0,0
181,model3_lr,1.0,0,0,0,0
181,model4_xgb,1.0,0,0,0,0
181,model5_lgbm,1.0,0,0,0,0
181,model_baseline,1.0,0,0,0,0
184,model1_rf,0.0,0,0,0,0
184,model2_lr,0.0,0,0,0,0
184,model3_lr,0.0,0,0,0,0
184,model4_xgb,1.0,0,0,0,0
184,model5_lgbm,1.0,0,0,0,0
184,model_baseline,0.0,0,0,0,0
185,model1_rf,1.0,0,0,0,0
185,model2_lr,0.0,0,0,0,0
185,model3_lr,1.0,0,0,0,0
185,model4_xgb,1.0,0,0,0,0
185,model5_lgbm,1.0,0,0,0,0
185,model_baseline,0.0,0,0,0,0
189,model1_rf,1.0,0,0,0,0
189,model2_lr,1.0,0,0,0,0
189,model3_lr,1.0,0,0,0,0
189,model4_xgb,0.0,0,0,0,0
189,model5_lgbm,0.0,0,0,0,0
189,model_baseline,1.0,0,0,0,0
191,model1_rf,1.0,0,0,0,0
191,model2_lr,1.0,0,0,0,0
191,model3_lr,0.0,0,0,0,0
191,model4_xgb,1.0,0,0,0,0
191,model5_lgbm,1.0,0,0,0,0
191,model_baseline,1.0,0,0,0,0
192,model1_rf,1.0,0,0,0,0
192,model2_lr,1.0,0,0,0,0
192,model3_lr,0.0,0,0,0,0
192,model4_xgb,1.0,0,0,0,0
192,model5_lgbm,1.0,0,0,0,0
192,model_baseline,0.0,0,0,0,0
193,model1_rf,0.0,0,0,0,0
193,model2_lr,0.0,0,0,0,0
193,model3_lr,0.0,0,0,0,0
193,model4_xgb,1.0,0,0,0,0
193,model5_lgbm,1.0,0,0,0,0
193,model_baseline,0.0,0,0,0,0
194,model1_rf,0.0,0,0,0,0
194,model2_lr,1.0,0,0,0,0
194,model3_lr,0.0,0,0,0,0
194,model4_xgb,1.0,0,0,0,0
194,model5_lgbm,0.0,0,0,0,0
194,model_baseline,0.0,0,0,0,0
195,model1_rf,1.0,0,0,0,0
195,model2_lr,1.0,0,0,0,0
195,model3_lr,1.0,0,0,0,0
195,model4_xgb,1.0,0,0,0,0
195,model5_lgbm,1.0,0,0,0,0
195,model_baseline,0.0,0,0,0,0
196,model1_rf,0.0,0,0,0,0
196,model2_lr,0.0,0,0,0,0
196,model3_lr,0.0,0,0,0,0
196,model4_xgb,0.0,0,0,0,0
196,model5_lgbm,0.0,0,0,0,0
196,model_baseline,0.0,0,0,0,0
197,model1_rf,1.0,0,0,0,0
197,model2_lr,1.0,0,0,0,0
197,model3_lr,0.0,0,0,0,0
197,model4_xgb,1.0,0,0,0,0
197,model5_lgbm,1.0,0,0,0,0
197,model_baseline,0.0,0,0,0,0
198,model1_rf,1.0,0,0,0,0
198,model2_lr,0.0,0,0,0,0
198,model3_lr,0.0,0,0,0,0
198,model4_xgb,1.0,0,0,0,0
198,model5_lgbm,1.0,0,0,0,0
198,model_baseline,0.0,0,0,0,0
201,model1_rf,1.0,0,0,0,0
201,model2_lr,0.0,0,0,0,0
201,model3_lr,0.0,0,0,0,0
201,model4_xgb,0.0,0,0,0,0
201,model5_lgbm,0.0,0,0,0,0
201,model_baseline,1.0,0,0,0,0
202,model1_rf,0.0,0,0,0,0
202,model2_lr,0.0,0,0,0,0
202,model3_lr,0.0,0,0,0,0
202,model4_xgb,0.0,0,0,0,0
202,model5_lgbm,0.0,0,0,0,0
202,model_baseline,1.0,0,0,0,0
203,model1_rf,0.0,0,0,0,0
203,model2_lr,0.0,0,0,0,0
203,model3_lr,0.0,0,0,0,0
203,model4_xgb,0.0,0,0,0,0
203,model5_lgbm,0.0,0,0,0,0
203,model_baseline,0.0,0,0,0,0
204,model1_rf,0.0,0,0,0,0
204,model2_lr,0.0,0,0,0,0
204,model3_lr,0.0,0,0,0,0
204,model4_xgb,1.0,0,0,0,0
204,model5_lgbm,0.0,0,0,0,0
204,model_baseline,0.0,0,0,0,0
206,model1_rf,0.0,0,0,0,0
206,model2_lr,0.0,0,0,0,0
206,model3_lr,0.0,0,0,0,0
206,model4_xgb,1.0,0,0,0,0
206,model5_lgbm,0.0,0,0,0,0
206,model_baseline,1.0,0,0,0,0
207,model1_rf,0.0,0,0,0,0
207,model2_lr,0.0,0,0,0,0
207,model3_lr,0.0,0,0,0,0
207,model4_xgb,1.0,0,0,0,0
207,model5_lgbm,1.0,0,0,0,0
207,model_baseline,1.0,0,0,0,0
208,model1_rf,0.0,0,0,0,0
208,model2_lr,0.0,0,0,0,0
208,model3_lr,0.0,0,0,0,0
208,model4_xgb,1.0,0,0,0,0
208,model5_lgbm,1.0,0,0,0,0
208,model_baseline,1.0,0,0,0,0
209,model1_rf,1.0,0,0,0,0
209,model2_lr,0.0,0,0,0,0
209,model3_lr,0.0,0,0,0,0
209,model4_xgb,1.0,0,0,0,0
209,model5_lgbm,1.0,0,0,0,0
209,model_baseline,1.0,0,0,0,0
210,model1_rf,1.0,0,0,0,0
210,model2_lr,0.0,0,0,0,0
210,model3_lr,0.0,0,0,0,0
210,model4_xgb,1.0,0,0,0,0
210,model5_lgbm,1.0,0,0,0,0
210,model_baseline,1.0,0,0,0,0
212,model1_rf,0.0,0,0,0,0
212,model2_lr,0.0,0,0,0,0
212,model3_lr,0.0,0,0,0,0
212,model4_xgb,1.0,0,0,0,0
212,model5_lgbm,1.0,0,0,0,0
212,model_baseline,0.0,0,0,0,0
213,model1_rf,1.0,0,0,0,0
213,model2_lr,1.0,0,0,0,0
213,model3_lr,0.0,0,0,0,0
213,model4_xgb,1.0,0,0,0,0
213,model5_lgbm,0.0,0,0,0,0
213,model_baseline,1.0,0,0,0,0
214,model1_rf,1.0,0,0,0,0
214,model2_lr,0.0,0,0,0,0
214,model3_lr,1.0,0,0,0,0
214,model4_xgb,1.0,0,0,0,0
214,model5_lgbm,1.0,0,0,0,0
214,model_baseline,0.0,0,0,0,0
217,model1_rf,1.0,0,0,0,0
217,model2_lr,1.0,0,0,0,0
217,model3_lr,0.0,0,0,0,0
217,model4_xgb,0.0,0,0,0,0
217,model5_lgbm,0.0,0,0,0,0
217,model_baseline,0.0,0,0,0,0
218,model1_rf,0.0,0,0,0,0
218,model2_lr,0.0,0,0,0,0
218,model3_lr,0.0,0,0,0,0
218,model4_xgb,1.0,0,0,0,0
218,model5_lgbm,0.0,0,0,0,0
218,model_baseline,0.0,0,0,0,0
219,model1_rf,0.0,0,0,0,0
219,model2_lr,0.0,0,0,0,0
219,model3_lr,0.0,0,0,0,0
219,model4_xgb,0.0,0,0,0,0
219,model5_lgbm,0.0,0,0,0,0
219,model_baseline,1.0,0,0,0,0
